Id_Buses,04-04-2022,05-04-2022,06-04-2022,07-04-2022,08-04-2022,09-04-2022,10-04-2022,11-04-2022,12-04-2022,13-04-2022,14-04-2022,15-04-2022,16-04-2022,17-04-2022,18-04-2022,19-04-2022,20-04-2022,21-04-2022,22-04-2022,23-04-2022,24-04-2022,25-04-2022,26-04-2022,27-04-2022,28-04-2022
Z634034,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto
Z634036,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin datos,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634037,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z634041,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin datos,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634042,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z634044,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634046,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z634049,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z634050,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin datos,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634053,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato irregular,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634055,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z634056,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin datos,Dato irregular,Dato irregular,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z634057,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
